Year,Price,WinterRain,AGST,HarvestRain,Age
1952,7.495,600,17.1167,160,31
1953,8.0393,690,16.7333,80,30
1955,7.6858,502,17.15,130,28
1957,6.9845,420,16.1333,110,26
1958,6.7772,582,16.4167,187,25
1959,8.0757,485,17.4833,187,24
1960,6.5188,763,16.4167,290,23
1961,8.4937,830,17.3333,38,22
1962,7.388,697,16.3,52,21
1963,6.7127,608,15.7167,155,20
1964,7.3094,402,17.2667,96,19
1965,6.2518,602,15.3667,267,18
1966,7.7443,819,16.5333,86,17
1967,6.8398,714,16.2333,118,16
1968,6.2435,610,16.2,292,15
1969,6.3459,575,16.55,244,14
1970,7.5883,622,16.6667,89,13
1971,7.1934,551,16.7667,112,12
1972,6.2049,536,14.9833,158,11
1973,6.6367,376,17.0667,123,10
1974,6.2941,574,16.3,184,9
1975,7.292,572,16.95,171,8
1976,7.1211,418,17.65,247,7
1977,6.2587,821,15.5833,87,6
1978,7.186,763,15.8167,51,5
